full_tweets,location,quote_count,reply_count,retweet_count,favorite_count,language
تنظيم رائع و سريع وكل الموجودين متعاونين و لطيفين جهود تشكر عليها الجامعة و القائمين على المركز,"Riyadh, Kingdom of Saudi Arabia",0,0,0,0,ar
هنغني كمان وكمانوهنرقص علي الأحزانويا دنيا جنان في جنانenjoy your time honey,بيت لحم,0,0,7,11,ar
اللينك كامل لتعليمات الcdc  عن زيادة الحماية ب ٢ ماسك زي ما بايدن كان لابس بلظبط,"Brooklyn, NY",0,0,0,0,ar
مااحلاكي بجنني بس يالله لي حاطة النظارة love you,بيت لحم,0,0,2,5,ar
كل ما تسمعون به و ترونه من تشديد في اجراءات التباعد ولبس الكمامات وغرامات على التجمعات امر متبع في اغلب دول العالم لضمان قط, ,0,5,4,31,ar
إصابات كورونا تصل إلى 412 مليون حالة في بريطانياللتفاصيل نتصدرالمشهدcovid19,دولة الإمارات - أبوظبي,0,0,0,0,ar
كل ما تريد معرفته عن سلالة كورونا الفنلنديةcovid19  عينكعلىالعالم,أخبار العالم,0,0,0,0,ar
المشعوذ د كوتشي فى اخر اصداراته الكوميديةحيث ان الحقنة الاولى تسبب اصابتك بالڤيرس والمرضفأن كنت اصبت سابقا ولم تمت فالحقنة الثانية كفيلة باتمام اللازم,unknown,0,0,0,0,ar
بنهاية موضوعنا لا تترددوا في أخذ موعد للتطعيم ضد كورونا  done by المصادر http,"الرياض, المملكة العربية السعودية",0,0,4,1,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,unknown,0,0,0,0,ar
سداد قروض شخصيه      تحويل من بنك اللي بنك اخر سداد المتعثرات وفك ايقاف الخدماتللتواصل  أحمد عزت  0595247,unknown,0,0,22,0,ar
سداد قروض شخصيه      تحويل من بنك اللي بنك اخر سداد المتعثرات وفك ايقاف الخدماتللتواصل  أحمد عزت  0595247,unknown,0,0,23,18,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,Lebanon,0,0,0,0,ar
السلام عليكم ورحمة الله وبركاتهنحن خريجات كلية محمد المانع من قسم علوم المختبرات الإكلينيكيةنضع بين أيديكم استبيان حول در,القطيف,2,0,3,0,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,مش مهم,0,0,0,0,ar
السلام عليكم ورحمة الله وبركاتهنحن خريجات كلية محمد المانع من قسم علوم المختبرات الإكلينيكيةنضع بين أيديكم استبيان حول در," Al-Qatif,KSA ",2,0,4,0,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,unknown,0,0,1,1,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,مش مهم,0,0,2,2,ar
لنِرجَع تنعلّم بأمان اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,unknown,1,1,18,12,ar
لَنوقف مع جيشنا الأبيض بهالحرب  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,unknown,0,0,3,3,ar
لنِرجَع نِفرَح بأمان اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,unknown,0,0,7,11,ar
"كورونا علمتني كتير تعلّمت الصّبر، تعلّمت إنو العيلة هيي القصة كلا، قدّرت شغلي وحسيت مع يلي شغلو يومي، خلتني فكر بالإنسان وإشكر الله عكل النعم يلي عاطيني ياها وكنت آخدتها تحصيل حاصلcovid19 lebanon لبنان  lifelesson",unknown,0,0,0,0,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,Beirut-lebanon,0,0,3,3,ar
لنِرجَع على شغلنا بأمان اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,unknown,0,0,10,10,ar
سداد قروض شخصيه      تحويل من بنك اللي بنك اخر سداد المتعثرات وفك ايقاف الخدماتللتواصل  أحمد عزت  0595247,المملكة العربية السعودية,0,0,23,0,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,unknown,0,0,0,0,ar
اللقاحواجب و خطوة ضرورية لمكافحة فيروس كوروناتأكد من تسجيل إسمك وإسم أفراد عائلتك للحصول على لُقاحكوروناإستمارة ال,unknown,1,0,13,15,ar
مستمرونصفرتعاملمعتركيامساءالخيركوروناcovid19,المملكة العربية السعودية,0,0,0,0,ar
سداد قروض شخصيه      تحويل من بنك اللي بنك اخر سداد المتعثرات وفك ايقاف الخدماتللتواصل  أحمد عزت  0595247,المملكة العربية السعودية,0,0,24,18,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,مش مهم,0,0,1,1,ar
"الدليل الوحيد في العالم على ان اللقاح اوقف كورونا في اسرائيل، حيث تجري العمليات مع رصد المعلومات نصف السكان اخذوا فايزر",ارض امنا حواء,1,7,37,75,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,Lebanon,0,0,4,5,ar
أسئلة وأجوبة حول لقاح  covid19  خدمتكمرسالتنا جمعيةالرسالةللإسعافالصحياللقاحواجب,"Lebanon, TN",0,0,6,4,ar
لَنردّ دين المُسعفين  اللقاحواجبحركةأمل مكتبالصحةcovid19 covid19vaccine,Lebanon,0,0,1,1,ar
شاركوا وسوو ريتويت,unknown,0,0,0,0,ar
الهند تتحدى شركة فايزر لإجراء تجربة سريرية على لقاح كوروناشركة فايزر ألغت وأسقطت الطلب على إذن استخدام الطوارئ للقا,unknown,1,2,50,98,ar
شاركوا وسوو ريتويت,Al Awamiyah🖤,0,0,1,0,ar
فرحوني برتويت,المملكة العربية السعودية,0,0,0,0,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,unknown,0,0,0,0,ar
تلقيت قبل قليل الجرعة الثانية من لقاح كوفيد19 ولله الحمد والمّنة شكراً لـ أبطالالصحة على مايقومون به من عمل يفوق الوصف,المملكة العربية السعودية,0,0,1,1,ar
"اذا هذي قراراتنا والله لي سنة ٢٠٦٠ واحنا للحين قاعد نواجه فيروس كورونا المستجد جزئي، كلي، جزئي، كلي، جزئي، كلي لاللح",-leo-❣️,0,0,6,3,ar
موظفونخارجالسلطنةضدقراراللجنههذا حق من حقوقنا عندنا اهلنا والسلطنة بلادنا ليش المنع بداعي المرض طيب الفئات المستثناه من,unknown,0,0,3,2,ar
اللهم وفق وارزق من ساهم او دعم لتفريج كربة مسلم معسوراخوكم ينخاكم دين عجز عن سداده واخرج من السجن بسبب كورونامريض ويعول والده المسن واطفاله 5 وبيت ايجار ولايوجد دخل الفاتورة مسجلة في فرجتالسداد يقبل أي مبلغ 1917818829اميرهالناصرتخلعمشعل الحظرالكلي,unknown,0,0,0,0,ar
معا نهزم كورونااللقاح سبيلنا للخلاص وطريق للإنتصار  على الوباءاللقاحواجب,unknown,0,0,1,1,ar
كورونا علمتنا درساً غاية في الأهميه عندما تبقى وحيداً ستنجو وعندما تتبع القطيع ستموت,unknown,0,0,0,0,ar
